지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도(°C)
238,금산,2021-06-01,20.7,13.8,27.5,,1,70.4,994.4,,5.5,22.8
238,금산,2021-06-02,22.5,15.7,30.2,,1,65.3,993.3,,4.4,24.2
238,금산,2021-06-03,17.3,14.6,19.3,28.8,.6,96.1,985,,9,18.9
238,금산,2021-06-04,17.9,12.4,23.8,.9,1.4,71,983.3,,3.5,21.3
238,금산,2021-06-05,20.6,11.1,27.3,,1.7,70.5,982.7,,3.1,21.9
238,금산,2021-06-06,21.5,15.6,27.9,0,1.2,71.1,987.9,,2.5,23.2
238,금산,2021-06-07,21.6,13.5,29.5,,.8,67,994.2,,5.3,24.2
238,금산,2021-06-08,23,15.5,31.1,,.8,68.3,995.6,,5.4,26.5
238,금산,2021-06-09,24.8,17.1,32.7,,.9,66.6,995.3,,3.8,29
238,금산,2021-06-10,23.5,18.2,30.7,.5,1.4,72,992.2,,8.4,26.9
238,금산,2021-06-11,22.2,18.6,28.1,22,1,84.8,990.9,,6.5,24.2
238,금산,2021-06-12,24.3,19,30.3,,.8,77.9,991.9,,7.1,26
238,금산,2021-06-13,24.8,21.5,29.7,0,1.2,78.6,988.9,,5,27.3
238,금산,2021-06-14,23.9,19.8,28.8,0,1,83,986.3,,7.8,26.3
238,금산,2021-06-15,21.4,20,23.3,2.2,1.3,85,984.5,,6.9,23.2
238,금산,2021-06-16,22.3,20,25.4,0,2.4,69.5,985.6,,6.8,24.8
238,금산,2021-06-17,20.9,17.5,24.8,.4,.9,82.1,986.8,,9.8,22.8
238,금산,2021-06-18,21,18.5,24.2,3.3,.8,88.8,982.7,,7.8,22.6
238,금산,2021-06-19,21.9,16.2,28.6,,.9,75.4,982.2,,3.4,26.1
238,금산,2021-06-20,23.5,14.9,31.4,,1.4,58.6,982.7,,3.6,26.7
238,금산,2021-06-21,23.2,17.4,29.8,,1.3,65.9,985.4,,2.5,27.3
238,금산,2021-06-22,22,15.8,27.9,,1,71.8,989.2,,6.4,25.2
238,금산,2021-06-23,19.9,17.6,24.3,17.7,1,90.1,991.1,,7.5,21.9
238,금산,2021-06-24,21.7,18,26.6,,1,81.1,992,,6.9,24.2
238,금산,2021-06-25,22.4,17.2,29.2,12.9,1,81.4,991.5,,7,27.4
238,금산,2021-06-26,22,19.4,27.2,3.1,.8,83.8,991,,8.3,25.9
238,금산,2021-06-27,23.7,18,29.8,,.9,74.5,987.7,,5.4,25.6
238,금산,2021-06-28,23.8,20.1,29.6,13.2,1.2,76,985.8,,7.5,27.2
238,금산,2021-06-29,22.2,18.4,28.2,.6,.8,87.5,986.6,,5.8,24.7
238,금산,2021-06-30,23.5,19.9,29.3,0,.8,82.1,987.5,,7.1,26.4
238,금산,2021-07-01,24.7,19.9,31,,1,78.3,987.3,,5.1,27.3
238,금산,2021-07-02,25.5,19.8,31.8,,1.2,68.4,989.3,,6.4,29
238,금산,2021-07-03,22.5,20.3,26.3,43.2,2.1,85.8,986.7,,8.4,23.7
238,금산,2021-07-04,23.6,21.1,26.7,6.7,1.7,81.1,986.3,,8.6,23.5
238,금산,2021-07-05,21.5,19.5,24.5,49.2,.8,90.4,990.7,,9.3,23.2
238,금산,2021-07-06,22.5,20.3,24.7,30.9,.5,96.9,988.2,,9.8,23.4
238,금산,2021-07-07,24.5,22.6,28.4,32,.8,94.9,987.9,,9.6,25.2
238,금산,2021-07-08,24.8,22,28.5,85.4,.9,89.1,986.2,,9.9,26.4
238,금산,2021-07-09,25.5,22.5,31.7,1.8,1,82,986.3,,5.8,28.1
238,금산,2021-07-10,24.5,20.8,31.2,23.4,1.2,84,988.9,,6.4,26.8
238,금산,2021-07-11,25.4,20.6,31,4.2,.7,86.8,991.1,,6.9,28.1
238,금산,2021-07-12,27.8,23.4,33.6,0,.7,81.9,990.9,,6.5,30.2
238,금산,2021-07-13,27.9,22.8,33.1,,1.3,76.4,990.9,,5.3,29.7
238,금산,2021-07-14,27.6,22.6,32.3,,1,78.1,993.4,,7.1,28.7
238,금산,2021-07-15,26.9,22.7,34,7.6,.9,82.8,995.3,,4.1,31
238,금산,2021-07-16,26.8,22.7,33.2,,1.3,77,995.3,,5.3,29.5
238,금산,2021-07-17,25.6,20.7,31.7,0,1.5,79.6,992.8,,5.3,29.2
238,금산,2021-07-18,25.5,20.3,32,1,1.1,81.9,992.3,,6.3,29.4
238,금산,2021-07-19,25.4,22.2,31.6,10.7,.8,85.3,994.2,,9,29.3
238,금산,2021-07-20,26,22.8,30.4,,.7,86,995.1,,9.3,27.7
238,금산,2021-07-21,27.3,21.2,34,,1.1,74.3,993.7,,4.3,30.1
238,금산,2021-07-22,26.5,21,32.7,,1.4,75.1,992.1,,4.9,31
238,금산,2021-07-23,27.2,20.7,33.9,,1.1,74.4,990.3,,6.4,32.6
238,금산,2021-07-24,27.9,22.5,34.5,,1.2,74.3,989.2,,6.8,34
238,금산,2021-07-25,27.5,22.4,32.8,,1.3,73.5,987.6,,6.8,32.8
238,금산,2021-07-26,27,20.7,33.9,,1.2,71.1,985.5,,1.3,34
238,금산,2021-07-27,27.1,20.4,34.7,,1,72.4,984.1,,2.4,33.2
238,금산,2021-07-28,28,22.6,34.6,,.9,70.6,983.8,,3.4,35.5
238,금산,2021-07-29,28.3,22.7,33.5,,1,73.9,983.2,,6.6,34.5
238,금산,2021-07-30,29.1,23.8,35.1,,1.1,68.3,981.9,,6.3,37.8
238,금산,2021-07-31,28.2,24.6,33.2,4.7,.9,78.8,981.9,,6.1,31.8
238,금산,2021-08-01,25.7,23,32.2,35.7,.7,90.5,982.1,,8.3,27.8
238,금산,2021-08-02,25.4,24,28.4,5.6,.7,92.6,984.7,,9,28.6
238,금산,2021-08-03,26.6,24,31,1.1,.7,86.4,988.9,,7.3,28.8
