date,price
2020-01-02,18000.0
2020-01-03,16000.0
2020-01-06,15000.0
2020-01-07,15000.0
2020-01-08,15000.0
2020-01-23,19000.0
2020-01-28,15000.0
2020-01-29,14000.0
2020-01-30,15000.0
2020-01-31,15000.0
2020-02-03,13500.0
2020-02-04,13500.0
2020-02-05,12500.0
2020-02-06,12500.0
2020-02-25,9000.0
2020-02-26,9000.0
2020-02-28,10000.0
2020-03-02,9000.0
2020-03-03,9000.0
2020-03-04,9000.0
2020-03-05,9000.0
2020-03-06,9000.0
2020-03-25,9000.0
2020-03-26,8500.0
2020-03-30,10000.0
2020-03-31,9000.0
2020-04-01,9000.0
2020-04-02,9000.0
2020-04-03,9000.0
2020-04-06,9000.0
2020-04-24,8500.0
2020-04-27,8500.0
2020-04-29,10000.0
2020-05-08,9000.0
2020-05-12,9000.0
2020-12-01,20300.0
2020-12-02,21200.0
2020-12-03,21200.0
2020-12-07,21200.0
2020-12-22,16000.0
2020-12-24,18300.0
2020-12-28,15600.0
2020-12-29,15600.0
2020-12-30,15600.0
2020-12-31,15600.0
2021-01-04,13400.0
2021-01-19,13500.0
2021-01-20,13200.0
2021-01-21,12300.0
2021-01-22,12300.0
2021-01-25,13400.0
2021-01-26,13600.0
2021-01-27,13600.0
2021-01-28,13600.0
2021-01-29,13600.0
2021-02-10,13100.0
2021-02-23,10400.0
2021-02-24,9800.0
2021-02-25,9800.0
2021-02-26,9800.0
2021-03-02,9800.0
2021-03-03,9800.0
2021-03-22,8000.0
2021-03-23,8000.0
2021-03-25,6400.0
2021-03-26,6600.0
2021-03-29,6400.0
2021-03-30,5300.0
2021-03-31,5300.0
2021-04-01,5300.0
2021-04-20,5300.0
2021-04-21,5300.0
2021-04-23,6200.0
2021-05-03,8000.0
2021-05-04,8000.0
2021-05-06,8000.0
2021-05-10,8000.0
2021-11-22,14250.0
2021-11-24,14250.0
2021-11-25,14250.0
2021-11-26,14250.0
2021-11-30,14250.0
2021-12-16,16850.0
2021-12-20,17100.0
2021-12-21,20100.0
2021-12-22,20100.0
2021-12-23,20100.0
2021-12-24,21250.0
2021-12-27,25000.0
2022-01-12,20000.0
2022-01-19,18750.0
2022-01-20,20750.0
2022-01-21,21000.0
2022-01-24,19250.0
2022-01-25,19250.0
2022-01-26,19250.0
2022-02-15,10200.0
2022-02-16,10200.0
2022-02-17,9000.0
2022-02-18,9000.0
2022-02-21,8500.0
2022-02-22,8500.0
2022-02-23,9700.0
2022-02-24,9700.0
2022-03-08,8900.0
2022-03-11,8900.0
2022-03-14,8400.0
2022-03-18,8400.0
2022-03-21,8400.0
2022-03-22,8600.0
2022-03-23,8600.0
2022-03-24,8600.0
2022-03-25,8600.0
2022-04-12,7400.0
2022-04-19,6000.0
2022-04-20,6000.0
2022-04-21,6000.0
2022-04-22,6000.0
2022-04-25,6000.0
2022-05-09,6100.0
2022-05-10,5400.0
2022-05-11,5400.0
2022-12-12,17700.0
2022-12-15,16500.0
2022-12-16,16500.0
2022-12-19,16500.0
2022-12-20,15400.0
2022-12-21,16600.0
2022-12-22,18800.0
2023-01-10,13500.0
2023-01-11,13500.0
2023-01-13,15900.0
2023-01-16,14900.0
2023-01-17,14900.0
2023-01-18,14900.0
2023-01-19,15500.0
2023-01-20,16200.0
2023-02-08,13300.0
2023-02-09,12900.0
2023-02-10,12900.0
2023-02-13,12300.0
2023-02-14,12300.0
2023-02-15,12300.0
2023-02-16,12700.0
2023-02-17,12300.0
2023-02-20,12600.0
2023-03-10,8500.0
2023-03-13,8400.0
2023-03-15,7500.0
2023-03-16,7500.0
2023-03-17,7300.0
2023-03-20,7500.0
2023-03-21,7500.0
2023-03-22,7500.0
2023-04-07,7700.0
2023-04-14,7700.0
2023-04-17,7600.0
2023-04-18,7800.0
2023-04-19,7800.0
2023-05-04,8700.0
2023-12-05,20100.0
2023-12-06,20100.0
2023-12-07,20100.0
2023-12-08,20200.0
2023-12-11,19500.0
2023-12-12,19500.0
2023-12-13,18400.0
2023-12-14,17600.0
2023-12-15,16600.0
2023-12-28,21400.0
2024-01-09,14900.0
2024-01-10,14900.0
2024-01-11,14900.0
2024-01-12,17700.0
2024-01-15,19500.0
2024-01-16,19500.0
2024-02-01,20900.0
2024-02-08,21100.0
2024-02-13,20000.0
2024-02-14,14400.0
2024-02-15,14400.0
2024-02-16,14400.0
2024-02-27,12900.0
2024-02-29,13800.0
2024-03-04,13600.0
2024-03-08,14100.0
2024-03-11,14000.0
2024-03-12,14200.0
2024-03-13,12500.0
2024-03-14,12300.0
2024-03-15,12700.0
2024-04-03,11000.0
2024-04-04,11000.0
2024-04-08,8900.0
2024-04-09,8900.0
2024-04-11,8900.0
2024-04-12,8900.0
2024-04-15,8900.0
2024-04-16,8900.0
2024-05-02,9600.0
2024-05-03,9600.0
2024-05-07,8100.0
2024-05-08,8100.0
2024-05-09,8100.0
2024-05-10,8100.0
2024-12-31,15600.0
2025-01-03,13200.0
2025-01-06,13100.0
2025-01-07,12900.0
2025-01-08,11700.0
2025-01-09,11700.0
2025-01-16,13900.0
2025-01-20,12200.0
2025-01-21,12800.0
2025-01-31,12200.0
2025-02-03,12700.0
2025-02-04,12700.0
2025-02-05,13100.0
2025-02-06,12900.0
2025-02-07,12600.0
2025-02-26,10700.0
2025-02-27,9300.0
2025-03-04,8900.0
2025-03-05,8900.0
2025-03-06,8800.0
2025-03-07,8700.0
2025-03-10,8500.0
2025-03-11,8200.0
2025-03-27,9000.0
2025-04-03,10300.0
2025-04-04,10300.0
2025-04-07,10700.0
2025-04-08,9500.0
2025-04-09,8800.0
2025-04-10,8800.0
2025-04-25,7400.0
2025-04-28,7800.0
2025-04-29,8000.0
2025-04-30,8400.0
2025-12-01,21500.0
2025-12-02,20000.0
2025-12-03,19600.0
2025-12-04,19600.0
2025-12-08,18200.0
2025-12-23,21400.0
2025-12-24,21900.0
2025-12-26,21500.0
2025-12-29,21700.0
2025-12-30,21700.0
2025-12-31,21200.0
2026-01-02,21200.0
2026-01-05,20400.0
2026-01-06,19900.0
2026-01-23,16700.0
2026-01-26,17000.0
2026-01-28,18900.0
2026-01-29,19200.0
2026-01-30,19200.0
2026-02-02,19200.0
2026-02-03,19200.0
2026-02-04,18600.0
2026-02-24,9900.0
2026-02-25,8500.0
2026-02-26,8400.0
2026-02-27,9000.0
2026-03-03,8500.0
2026-03-04,8500.0
2026-03-05,8400.0
2026-03-06,8800.0
2026-03-09,8300.0
2026-03-24,8300.0
2026-03-25,8000.0
2026-03-26,8000.0
2026-03-27,8100.0
2026-03-30,7900.0
2026-03-31,7700.0
2026-04-01,7300.0
2026-04-02,6700.0
2026-04-03,6700.0
2026-04-21,7200.0
2026-04-28,6600.0
2026-04-29,6600.0
2026-04-30,6600.0
