date,market,type,source_regions,price_grade_상,price_grade_중,trend_note,forecast,year
2020-02-24,서울,중도매,"경남 산청, 전남 담양, 충남 논산ㆍ공주, 전북 남원지역에서 주로 출하됨",20000.0,16000.0,"지역별 품위에 따라 가격 편차가 큰 가운데, 주초를 맞아 반입량은 전일대비 7.3% 증가한 280톤이 반입되어 반입량 증가로 내림세에 거래됨",향후에도 상품성이 우수한 담양산은 강보합세가 지속 될 전망임,2020
2020-02-25,서울,중도매,"경남 산청, 전남 담양, 충남 논산ㆍ홍성, 전북 남원지역에서 주로 출하됨",18000.0,14000.0,"반입량은 전일과 비슷한 276톤이 반입되었으며, 우천에 따른 소비부진으로 내림세에 거래됨",향후에는 기온상승에 따른 산지 출하량 증가가 예상되어 내림세를 전망함,2020
2020-02-27,서울,중도매,"경남 산청ㆍ고성, 전남 담양, 충남 공주ㆍ홍성지역에서 주로 출하됨",20000.0,16000.0,반입량은 전일대비 7.8% 감소한 188톤이 반입되어 반입량 감소로 오름세에 거래됨,향후에는 기온상승에 따른 산지 출하량 증가가 예상되어 내림세를 전망함,2020
2020-03-05,부산,소매,"경남 진주, 양산, 밀양지역에서 주로 반입됨",1100.0,900.0,소비부진의 지속으로 시장내 반입량을 줄여 가격의 오름세를 보임,향후 반입량과 수요량이 현재와 비슷할 것으로 예상되어 보합세 혹은 약보합세 전망,2020
2020-03-06,대구,중도매,"경남 거창, 합천, 밀양, 경북 성주, 청도 등의 지역에서 주로 반입됨",17000.0,12000.0,"산지에서 출하량을 증가시켜, 시장 내 반입량이 증가하여 내림세에 거래됨.",당분간 보합세 전망.,2020
2020-03-09,대전,소매,주로 경남 진주에서 출하됨,1200.0,1000.0,"당도가 높고 상태가 양호하며, 제철 과일로 소비자들의 수요량도 꾸준함에 따라 가격의 오름세를 보임",향후 제철인 5월까지는 출하물량 및 수요량이 꾸준할 것으로 예상되어 가격의 보합세가 전망됨,2020
2020-03-11,부산,중도매,"경남 진주, 함안, 양산 등에서 주로 출하됨",17000.0,13000.0,출하 및 시장내 반입량 대비 지속적인 소비부진의 영향으로 약보합세,향후에도 소비부진이 이어질 것으로 예상되어 보합세 혹은 약보합세 전망,2020
2020-03-12,대전,중도매,"출하지역은 대전, 충남 금산, 논산, 경남 하도,  등에서 주 출하됨.",17000.0,15000.0,최근 기온 상승으로 일조량이 증가와 제철 딸기 소비 증가 기대로 오름세를 보임,향후 기상호조로 반입량은 증가하나 소비 감소가 예상되어 약보합세를 보일것으로 전망됨,2020
2020-03-12,서울,중도매,"경남 산청, 전남 담양, 충남 부여, 홍성, 전북 익산 지역에서 주로  출하됨.",20000.0,16000.0,반입량은 전일대비 20.0% 감소한 156톤이 반입되어 반입량 감소로 오름세에 거래됨.,향후에는 기온 상승과 출하 종료기를 맞아 상품성(무름 현상등) 저하로 내림세를 전망함,2020
2020-03-12,광주,소매,"전남 담양, 장성, 고창 등지에서 주 출하됨",1200.0,1000.0,"재배면적이 늘었으나 잦은 비와 일조량 부족 등 기상악화로 인한 작황부진으로 출하량이 감소한 가운데, 품질이 좋지 않은데다, 소비도 부진하여 내림세에 거래됨","기온상승으로 숙기가 빨라져 출하가 조기 마무리 될 것으로 예상되며, 소비부진이 지속될 경우 약보합세 전망",2020
