date,temp_avg,temp_max,temp_min,rainfall_sum,wind_avg,humidity_avg,ground_temp_avg,cloud_avg,temp_range,price,price_ffill,busan,daegu,gwangju,daejeon,busan_ffill,daegu_ffill,gwangju_ffill,daejeon_ffill,price_lag1,price_lag7,price_ma7,price_ma14,temp_ma7,rainfall_cum7,rainfall_cum14,humidity_ma7,month,dow,is_season
2020-01-01,0.076086956521739,4.7,-5.45,0.0,2.371739130434783,52.065217391304344,-0.7217391304347827,3.4772727272727275,10.15,,,,,,,,,,,,,,,0.076086956521739,0.0,0.0,52.065217391304344,1,2,1
2020-01-02,2.395833333333333,8.350000000000001,-2.35,0.0,1.5666666666666669,64.16666666666667,0.4166666666666667,1.1666666666666667,10.700000000000001,18000.0,18000.0,16000.0,17500.0,17500.0,16000.0,16000.0,17500.0,17500.0,16000.0,,,18000.0,18000.0,1.235960144927536,0.0,0.0,58.11594202898551,1,3,1
2020-01-03,3.810416666666667,8.4,-0.3,0.0,1.6916666666666669,64.39583333333334,1.7583333333333333,1.6944444444444446,8.700000000000001,16000.0,16000.0,16000.0,17000.0,19000.0,16000.0,16000.0,17000.0,19000.0,16000.0,18000.0,,17000.0,17000.0,2.0941123188405797,0.0,0.0,60.20923913043479,1,4,1
2020-01-04,2.3645833333333335,8.3,-3.0999999999999996,0.0,1.5083333333333333,70.27083333333333,0.9083333333333332,2.1041666666666665,11.4,,16000.0,,,,,16000.0,17000.0,19000.0,16000.0,16000.0,,17000.0,17000.0,2.161730072463768,0.0,0.0,62.72463768115942,1,5,1
2020-01-05,2.4333333333333336,10.05,-4.0,0.0,0.5333333333333333,60.0625,0.9895833333333331,2.544384057971014,14.05,,16000.0,,,,,16000.0,17000.0,19000.0,16000.0,,,17000.0,17000.0,2.216050724637681,0.0,0.0,62.192210144927536,1,6,1
2020-01-06,3.5395833333333337,6.699999999999999,0.8500000000000001,11.8,0.6270833333333333,83.85416666666666,3.0145833333333334,9.591485507246375,5.85,15000.0,15000.0,16000.0,17000.0,17500.0,16000.0,16000.0,17000.0,17500.0,16000.0,,,16333.333333333334,16333.333333333334,2.4366394927536232,11.8,11.8,65.80253623188406,1,0,1
2020-01-07,10.4,16.950000000000003,6.3,35.5,1.625,97.41666666666666,9.333333333333332,9.90625,10.650000000000002,15000.0,15000.0,16000.0,17000.0,17500.0,16000.0,16000.0,17000.0,17500.0,16000.0,15000.0,,16000.0,16000.0,3.5742624223602486,47.3,47.3,70.31884057971014,1,1,1
2020-01-08,5.9125,12.05,3.95,3.5,4.364583333333334,79.1875,5.460416666666666,8.609601449275363,8.100000000000001,15000.0,15000.0,16000.0,15500.0,16000.0,16000.0,16000.0,15500.0,16000.0,16000.0,15000.0,,15800.0,15800.0,4.408035714285715,50.8,50.8,74.19345238095238,1,2,1
2020-01-09,3.4291666666666667,6.5,0.4,0.0,2.245833333333333,60.02083333333333,2.7895833333333333,6.541666666666666,6.1,,15000.0,12267.0,15500.0,16000.0,16000.0,12267.0,15500.0,16000.0,16000.0,15000.0,18000.0,15250.0,15800.0,4.555654761904762,50.8,50.8,73.60119047619048,1,3,1
2020-01-10,1.6041666666666667,9.25,-3.1999999999999997,0.0,1.075,66.83333333333333,1.29375,3.3125,12.45,,15000.0,12200.0,13000.0,12733.0,12233.0,12200.0,13000.0,12733.0,12233.0,,16000.0,15000.0,15800.0,4.2404761904761905,50.8,50.8,73.94940476190474,1,4,1
2020-01-11,3.0062499999999996,8.3,-1.4,0.0,1.5291666666666668,62.083333333333336,2.03125,5.479166666666666,9.700000000000001,,15000.0,,,,,12200.0,13000.0,12733.0,12233.0,,,15000.0,15800.0,4.332142857142857,50.8,50.8,72.7797619047619,1,5,1
2020-01-12,2.979166666666667,4.75,1.7999999999999998,0.0,2.6166666666666667,57.6875,2.6875,6.458333333333334,2.95,,,,,,,12200.0,13000.0,12733.0,12233.0,,,15000.0,15800.0,4.410119047619047,50.8,50.8,72.44047619047619,1,6,1
2020-01-13,1.9583333333333337,3.95,-0.8,0.0,2.94375,58.58333333333333,1.7124999999999997,6.375,4.75,,,16000.0,12800.0,12400.0,12433.0,16000.0,12800.0,12400.0,12433.0,,15000.0,15000.0,15800.0,4.18422619047619,39.0,50.8,68.83035714285714,1,0,1
